Training | Average loss 4.1406 kld 46.6563 kld1 42.0410 kld2 0.8878 kld3 3.7274 elem_type_num 0.0533 elem_type 0.0049 elem_num 0.0253 lattice 0.0011 coord 0.3436 elem_type_num_acc 0.9880, elem_type_acc 0.9993 elem_type_recall 0.9901 elem_num_acc 0.9934 elem_type_match 0.9571 elem_num_match 0.9758 comp_match 0.9381
Training | Average loss 4.1170 kld 46.5277 kld1 41.9958 kld2 0.8623 kld3 3.6696 elem_type_num 0.0437 elem_type 0.0048 elem_num 0.0242 lattice 0.0010 coord 0.3428 elem_type_num_acc 0.9875, elem_type_acc 0.9992 elem_type_recall 0.9903 elem_num_acc 0.9951 elem_type_match 0.9535 elem_num_match 0.9816 comp_match 0.9429
Training | Average loss 4.0582 kld 46.3388 kld1 41.8250 kld2 0.8720 kld3 3.6417 elem_type_num 0.0436 elem_type 0.0048 elem_num 0.0240 lattice 0.0010 coord 0.3374 elem_type_num_acc 0.9899, elem_type_acc 0.9992 elem_type_recall 0.9904 elem_num_acc 0.9943 elem_type_match 0.9547 elem_num_match 0.9787 comp_match 0.9408
Training | Average loss 4.1342 kld 46.3365 kld1 41.8122 kld2 0.9031 kld3 3.6211 elem_type_num 0.0433 elem_type 0.0047 elem_num 0.0228 lattice 0.0010 coord 0.3453 elem_type_num_acc 0.9898, elem_type_acc 0.9993 elem_type_recall 0.9909 elem_num_acc 0.9940 elem_type_match 0.9589 elem_num_match 0.9775 comp_match 0.9414
Training | Average loss 4.0768 kld 45.9797 kld1 41.5193 kld2 0.8678 kld3 3.5926 elem_type_num 0.0397 elem_type 0.0046 elem_num 0.0221 lattice 0.0009 coord 0.3408 elem_type_num_acc 0.9908, elem_type_acc 0.9993 elem_type_recall 0.9914 elem_num_acc 0.9965 elem_type_match 0.9585 elem_num_match 0.9868 comp_match 0.9505
Training | Average loss 4.0453 kld 45.9700 kld1 41.5480 kld2 0.8394 kld3 3.5825 elem_type_num 0.0402 elem_type 0.0045 elem_num 0.0200 lattice 0.0009 coord 0.3380 elem_type_num_acc 0.9899, elem_type_acc 0.9991 elem_type_recall 0.9898 elem_num_acc 0.9950 elem_type_match 0.9515 elem_num_match 0.9812 comp_match 0.9389
Training | Average loss 4.0379 kld 44.9010 kld1 40.5375 kld2 0.7763 kld3 3.5872 elem_type_num 0.0330 elem_type 0.0043 elem_num 0.0189 lattice 0.0009 coord 0.3397 elem_type_num_acc 0.9933, elem_type_acc 0.9994 elem_type_recall 0.9917 elem_num_acc 0.9968 elem_type_match 0.9646 elem_num_match 0.9880 comp_match 0.9553
Training | Average loss 4.0186 kld 44.3146 kld1 39.9959 kld2 0.7693 kld3 3.5494 elem_type_num 0.0334 elem_type 0.0043 elem_num 0.0186 lattice 0.0009 coord 0.3386 elem_type_num_acc 0.9936, elem_type_acc 0.9994 elem_type_recall 0.9928 elem_num_acc 0.9949 elem_type_match 0.9672 elem_num_match 0.9818 comp_match 0.9520
Training | Average loss 4.0059 kld 44.6071 kld1 40.3149 kld2 0.7518 kld3 3.5404 elem_type_num 0.0279 elem_type 0.0042 elem_num 0.0173 lattice 0.0009 coord 0.3380 elem_type_num_acc 0.9948, elem_type_acc 0.9994 elem_type_recall 0.9923 elem_num_acc 0.9963 elem_type_match 0.9681 elem_num_match 0.9863 comp_match 0.9569
Training | Average loss 3.9688 kld 43.7425 kld1 39.4360 kld2 0.7424 kld3 3.5641 elem_type_num 0.0270 elem_type 0.0040 elem_num 0.0163 lattice 0.0009 coord 0.3359 elem_type_num_acc 0.9910, elem_type_acc 0.9993 elem_type_recall 0.9915 elem_num_acc 0.9958 elem_type_match 0.9617 elem_num_match 0.9844 comp_match 0.9500
